Timestamp,Task,Type,Mode,Agent,Round,Model Name,Role Name,Data Num,Mean Fluency,STD Fluency,Mean Flexibility,STD Flexibility,Mean Originality,STD Originality,Mean Elaboration,STD Elaboration,File Name
0901-1326, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI                                             ,       10,        4.667,       0.516,            4.967,           0.1  ,            3.32 ,           0.614,            3.38 ,           0.616, AUT_persona_api_0901-1326_10 (empathetic_counselor)
0902-2331, AUT , baseline    , persona , VanillaQwen ,     1, Qwen25                 , VanillaQwen                                            ,       10,        5.0  ,       0.0  ,            5.0  ,           0.0  ,            3.66 ,           0.53 ,            3.96 ,           0.356, AUT_openai_baseline_1_1_gpt_4o_mini_baseline_0902-2331_10
0903-1206, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI                                             ,       10,        4.967,       0.1  ,            5.0  ,           0.0  ,            4.46 ,           0.335,            4.68 ,           0.183, AUT_persona_api_0903-1206_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt empathetic_counselor_response_avg_diff.pt)
0903-1447, AUT , vanilla     , vanilla , VanillaQwen ,     1, Qwen25                 , VanillaQwen                                            ,       10,        5.0  ,       0.0  ,            5.0  ,           0.0  ,            4.0  ,           0.559,            4.36 ,           0.418, AUT_vanilla_qwen_1_1_Qwen25_VanillaQwen_vanilla_20250903-144738_10
0906-0102, AUT , discussion  , roleplay, 4           ,     5, gpt-4o-mini            , Environmentalist-CreativeProfessional-Futurist-Futurist,       10,       32.942,       4.928,           26.933,           9.816,            4.009,           0.152,            3.736,           0.196, AUT_multi_debate_roleplay_4_5_gpt-4o-mini_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-06-01-02-15_10
0908-1348, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI                                             ,       10,        5.0  ,       0.0  ,            5.0  ,           0.0  ,            4.46 ,           0.377,            4.19 ,           0.611, AUT_persona_api_0908-0548_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt empathetic_counselor_response_avg_diff.pt)
0908-1445, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-Chinese                                     ,       10,        4.6  ,       0.757,            4.867,           0.306,            4.51 ,           0.342,            4.42 ,           0.59 , AUT_persona_api_0908-0645_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-1716, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-English                                     ,       10,        9.1  ,       1.422,            8.1  ,           1.62 ,            3.86 ,           0.461,            3.17 ,           0.585, AUT_persona_api_0908-1716_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-1802, AUT , api         , persona , PersonaAPI  ,     1, Qwen25                 , PersonaAPI-English-test1                               ,       10,        4.7  ,       0.64 ,            4.8  ,           0.6  ,            4.6  ,           0.41 ,            4.63 ,           0.607, AUT_persona_api_0908-1802_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-2152, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English-test1                               ,       10,        4.933,       0.2  ,            4.7  ,           0.605,            4.46 ,           0.284,            4.58 ,           0.303, AUT_persona_api_0908-2152_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-2215, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English                                     ,       10,        9.9  ,       0.213,            7.3  ,           0.983,            3.22 ,           0.349,            3.26 ,           0.4  , AUT_persona_api_0908-2215_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-2245, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-Chinese                                     ,       10,        4.9  ,       0.473,            5.067,           0.2  ,            4.42 ,           0.469,            4.26 ,           0.482, AUT_persona_api_0908-2245_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
0908-2309, AUT , api         , persona , PersonaAPI  ,     1, Llama31                , PersonaAPI-English-test2                               ,       10,        9.9  ,       0.213,            7.433,           1.469,            3.64 ,           0.564,            3.46 ,           0.467, AUT_persona_api_0908-2309_10 (analytical_thinker_response_avg_diff.pt creative_professional_response_avg_diff.pt environmentalist_response_avg_diff.pt futurist_response_avg_diff.pt futurist_response_avg_diff.pt)
