Timestamp,Task,Type,Mode,Agent,Round,Model Name,Role Name,Data Num,Mean Fluency,STD Fluency,Mean Flexibility,STD Flexibility,Mean Originality,STD Originality,Mean Elaboration,STD Elaboration,File Name
0920-0015 ,/workspace/LLM-discussion/LLM-discussion-reproduce/Results/AUT/Output/google,google,,,,,,100,5.34,1.833,4.973,0.131,4.794,0.382,4.805,0.427,/workspace/LLM-discussion/LLM-discussion-reproduce/Results/AUT/Output/google_agent/AUT_google_topline_1_1_gemini_2_5_pro_SingleRole_0920-0015_100
0920-1527 ,/workspace/LLM-discussion/LLM-discussion-reproduce/Results/AUT/Output/google,google,,,,,,100,9.737,4.489,5.427,1.869,4.94,0.085,4.929,0.097,/workspace/LLM-discussion/LLM-discussion-reproduce/Results/AUT/Output/google_agent/AUT_google_topline_1_1_gemini_2_5_pro_MultiRole_0920-1527_100
2025-09-10 23:47:36,AUT,debate,roleplay,4,5,gpt-3-5-turbo-0125,Environmentalist-CreativeProfessional-Futurist-Futurist,10,9.267,1.119,9.883,0.535,4.377,0.288,4.217,0.219,AUT_multi_debate_roleplay_4_5_gpt-3-5-turbo-0125_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-10-23-47-36_10
2025-09-11 00:40:11,AUT,debate,roleplay,4,5,gpt-3-5-turbo-0125,Environmentalist-CreativeProfessional-Futurist-Futurist,10,6.383,2.286,6.825,2.074,4.473,0.291,4.491,0.274,AUT_multi_debate_roleplay_4_5_gpt-3-5-turbo-0125_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-11-00-40-11_10
2025-09-11 02:16:05,AUT,debate,roleplay,4,5,gpt-4o-mini-2024-07-18,Environmentalist-CreativeProfessional-Futurist-Futurist,10,16.858,2.761,15.817,2.848,4.411,0.219,4.057,0.116,AUT_multi_debate_roleplay_4_5_gpt-4o-mini-2024-07-18_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-11-02-16-05_10
2025-09-11 04:06:47,AUT,debate,roleplay,4,5,gpt-4o-mini-2024-07-18,Environmentalist-CreativeProfessional-Futurist-Futurist,10,18.192,2.939,8.092,1.083,4.241,0.221,3.598,0.394,AUT_multi_debate_roleplay_4_5_gpt-4o-mini-2024-07-18_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-11-04-06-47_10
2025-09-11 15:03:47,AUT,debate,roleplay,4,5,qwen2-5-7b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,10,3.367,3.083,5.2,0.781,4.25,0.406,1.748,0.556,AUT_multi_debate_roleplay_4_5_qwen2-5-7b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-11-15-03-47_10
2025-09-11 16:41:14,AUT,debate,roleplay,4,5,llama-3-1-8b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,10,15.267,8.365,7.783,2.418,4.092,0.974,3.318,0.845,AUT_multi_debate_roleplay_4_5_llama-3-1-8b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-11-16-41-14_10
2025-09-12 02:33:33,AUT,debate,roleplay,4,5,qwen2-5-7b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,10,7.717,3.551,5.95,1.419,4.631,0.19,4.599,0.381,AUT_multi_debate_roleplay_4_5_qwen2-5-7b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-12-02-33-33_10
2025-09-12 03:19:14,AUT,debate,roleplay,4,5,llama-3-1-8b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,10,16.833,9.235,7.942,1.352,4.46,0.353,3.769,0.481,AUT_multi_debate_roleplay_4_5_llama-3-1-8b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-12-03-19-14_10
2025-09-13 01:26:47,AUT,debate,roleplay,4,5,qwen2-5-7b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,100,4.92,0.411,4.867,0.282,4.185,0.539,4.356,0.335,AUT_multi_debate_roleplay_4_5_qwen2-5-7b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-13-01-26-47_100
2025-09-13 11:59:42,AUT,debate,roleplay,4,5,llama-3-1-8b-instruct,Environmentalist-CreativeProfessional-Futurist-Futurist,100,4.866,1.275,4.704,0.89,4.086,0.82,4.218,0.734,AUT_multi_debate_roleplay_4_5_llama-3-1-8b-instruct_Environmentalist-CreativeProfessional-Futurist-Futurist_multi_agent_2025-09-13-11-59-42_100
