layer,creative,neutral,combined_avg
19,0.08715843111276625,-0.29853733591735365,-0.1056894524022937
20,-0.019560038298368457,-0.4222931876778603,-0.22092661298811436
21,-0.0283992499113083,-0.4202733878046274,-0.22433631885796787
22,-0.06206943988800049,-0.42533798813819884,-0.24370371401309968
23,-0.11405382305383678,-0.5122696682810783,-0.3131617456674576
24,-0.15383465141057967,-0.5312235079705715,-0.34252907969057556
25,-0.2087202668190002,-0.49819261506199836,-0.3534564409404993
26,-0.32986173331737517,-0.5839065104722977,-0.4568841218948364
27,-0.32833667993545534,-0.6007878817617893,-0.46456228084862233
28,-0.2620019927620888,-0.5741776026785373,-0.41808979772031307
29,-0.2897122949361801,-0.7006003901362419,-0.495156342536211
30,-0.5310138583183288,-0.9151437178254127,-0.7230787880718708
31,-0.46431392431259155,-0.3999531790614128,-0.4321335516870022
