layer,creative,neutral,combined_avg
19,0.10683986991643905,-0.24286605678498746,-0.0680130934342742
20,-0.019560038298368457,-0.4222931876778603,-0.22092661298811436
21,0.03941348046064376,-0.37109721750020974,-0.165841868519783
22,0.02760933041572569,-0.3152208156883717,-0.143805742636323
23,0.0635280609130859,-0.32889894396066666,-0.1326854415237904
24,-0.05165471881628035,-0.40620614141225814,-0.22893043011426925
25,0.03644896745681761,-0.3425496179610491,-0.15305032525211576
26,-0.04511214569211005,-0.4140322510153055,-0.22957219835370776
27,-0.2766787752509117,-0.6394973240792752,-0.4580880496650934
28,-0.2344618484377861,-0.6900954470038414,-0.46227864772081373
29,-0.2664169937372208,-0.9991000518202782,-0.6327585227787494
30,-0.6162447050213814,-1.1852519392967225,-0.900748322159052
31,-3.369027304649353,-3.2297756910324096,-3.299401497840881
