layer,creative,neutral,combined_avg
19,-0.11525027900934219,-0.5234502196311951,-0.3193502493202686
20,-0.22233230918645858,-0.5528950959444046,-0.3876137025654316
21,-0.2744462370872497,-0.6779979348182679,-0.4762220859527588
22,-0.2853253990411758,-0.7101991444826126,-0.4977622717618942
23,-0.28053432554006574,-0.6829588264226913,-0.48174657598137854
24,-0.291629321873188,-0.7563034236431122,-0.5239663727581501
25,-0.4081172004342079,-0.8977503597736358,-0.6529337801039219
26,-0.4977268919348716,-0.9191674649715423,-0.7084471784532069
27,-0.4689004674553871,-0.9833718419075013,-0.7261361546814442
28,-0.34864239692687987,-0.9562617152929306,-0.6524520561099052
29,-0.4189677596092224,-1.2012241065502167,-0.8100959330797195
30,-0.5664970576763153,-1.405888855457306,-0.9861929565668106
31,-0.8825161546468735,-2.4659787774086,-1.6742474660277367
