layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.1664348602294923,2.155969023704529,2.1612019419670103
21,2.1631489872932432,2.204098916053772,2.183623951673508
22,2.1649361133575438,2.1745644092559813,2.1697502613067625
23,2.1694216966629027,2.1820743560791014,2.175748026371002
24,2.167972457408905,2.2028739929199217,2.1854232251644135
25,2.186440587043762,2.260284733772278,2.22336266040802
26,2.2053146958351135,2.3691949367523195,2.2872548162937165
27,2.215907609462738,2.518845188617706,2.3673763990402223
28,2.299864637851715,2.551203465461731,2.425534051656723
29,2.4849351167678835,2.7793980956077577,2.6321666061878206
30,2.7029622077941893,2.8651132702827455,2.7840377390384674
31,4.3188505411148075,5.875803482532501,5.097327011823655
