layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.208210849761963,2.2081636667251585,2.2081872582435604
21,2.2712413549423216,2.2739460945129393,2.2725937247276304
22,2.263781690597534,2.282239532470703,2.2730106115341187
23,2.2844002723693846,2.2878719568252563,2.2861361145973205
24,2.288371443748474,2.302425813674927,2.2953986287117005
25,2.31193528175354,2.3597686529159545,2.3358519673347473
26,2.3545145988464355,2.4271793365478516,2.3908469676971436
27,2.351198744773865,2.4703012466430665,2.410749995708466
28,2.412845802307129,2.506424164772034,2.4596349835395817
29,2.5045531511306764,2.595292496681213,2.549922823905945
30,2.5912582874298096,2.7290359497070313,2.6601471185684202
31,2.118130993843079,2.1596283197402952,2.138879656791687
