layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.208210849761963,2.2081636667251585,2.2081872582435604
21,2.1753215312957765,2.18241868019104,2.1788701057434086
22,2.1956823587417604,2.2031165838241575,2.199399471282959
23,2.220386600494385,2.2381850481033325,2.2292858242988585
24,2.225716996192932,2.25032217502594,2.238019585609436
25,2.2424413204193114,2.291238522529602,2.266839921474457
26,2.308968114852905,2.3921568393707275,2.3505624771118163
27,2.3090063333511353,2.44406898021698,2.3765376567840577
28,2.3456970691680907,2.4611966371536256,2.403446853160858
29,2.465732288360596,2.550200271606445,2.5079662799835205
30,2.681564998626709,2.7542062520980837,2.7178856253623964
31,2.3027671575546265,2.197737622261047,2.250252389907837
