layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.1503827810287475,2.1374207496643067,2.143901765346527
21,2.136717438697815,2.2071168422698975,2.171917140483856
22,2.1391060948371887,2.1860989809036253,2.162602537870407
23,2.1659225940704347,2.1404114246368406,2.1531670093536377
24,2.1211950182914734,2.1895617604255677,2.1553783893585203
25,2.1520678281784056,2.2774014711380004,2.2147346496582028
26,2.211177706718445,2.4180090546607973,2.314593380689621
27,2.2586642503738403,2.548192834854126,2.403428542613983
28,2.3015257596969603,2.5996904015541076,2.4506080806255337
29,2.489435064792633,2.6975584030151367,2.593496733903885
30,2.766672229766846,2.846996378898621,2.8068343043327335
31,4.123154294490814,4.870154881477356,4.496654587984086
