layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,1.9407738327980042,1.9417680978775025,1.9412709653377533
21,1.9298561930656433,1.935472011566162,1.9326641023159028
22,1.914677655696869,1.956709659099579,1.935693657398224
23,1.9361511707305907,2.008657467365265,1.972404319047928
24,1.9306893467903137,2.0188237905502318,1.9747565686702728
25,1.9714604020118713,2.0463678002357484,2.0089141011238096
26,2.014018440246582,2.1059592008590697,2.059988820552826
27,2.0654311537742616,2.1845223546028136,2.1249767541885376
28,2.1217705607414246,2.2852155447006224,2.2034930527210235
29,2.3223116278648375,2.499677765369415,2.4109946966171263
30,2.56773042678833,2.619568705558777,2.5936495661735535
31,3.632568359375,4.327277672290802,3.979923015832901
