layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.000920283794403,2.0002104163169863,2.0005653500556946
21,2.0550440311431886,2.0899929285049437,2.0725184798240663
22,2.0654768347740173,2.1316580533981324,2.0985674440860747
23,2.0759974122047424,2.1893656730651854,2.132681542634964
24,2.0596807479858397,2.1847410202026367,2.122210884094238
25,2.10862774848938,2.2246879816055296,2.166657865047455
26,2.1418155431747437,2.269214940071106,2.205515241622925
27,2.1603505969047547,2.3055994510650635,2.232975023984909
28,2.2158252954483033,2.385616421699524,2.3007208585739134
29,2.3229658603668213,2.4872143507003783,2.4050901055336
30,2.3527010440826417,2.521850919723511,2.4372759819030763
31,1.6481236457824706,1.769048547744751,1.7085860967636108
