layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,1.9351391077041626,1.929344069957733,1.9322415888309479
21,1.9007203817367553,1.9185545206069947,1.909637451171875
22,1.8719240427017212,1.9049024820327758,1.8884132623672485
23,1.9252969384193421,1.8733550548553466,1.8993259966373444
24,1.8904585003852845,1.8697779893875122,1.8801182448863982
25,1.9265750885009765,1.940566861629486,1.9335709750652312
26,1.9440631508827209,1.9799801588058472,1.9620216548442841
27,1.9431479930877686,2.052272880077362,1.9977104365825653
28,2.0094660401344298,2.0728155374526978,2.0411407887935638
29,2.145327389240265,2.1818152904510497,2.1635713398456575
30,2.3748377680778505,2.2976083517074586,2.3362230598926548
31,3.354395866394043,2.7368750751018522,3.0456354707479476
