prompt_idx,layer,steer_layer,alpha_A,alpha_B,eps_A,eps_B,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,cos_tA_tB,model,vecA_path,vecB_path
0,19,20,2.0,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,20,20,2.0,2.0,0.1,0.1,2.9732296466827393,2.2102558612823486,2.2088623046875,2.2102558612823486,2.2088623046875,2.2024178504943848,2.1564836502075195,0.12439753093631181,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,21,20,2.0,2.0,0.1,0.1,3.3955159187316895,2.294600009918213,2.3061206340789795,2.166044235229492,2.207085609436035,2.2745702266693115,2.2574257850646973,0.2761722638505643,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,22,20,2.0,2.0,0.1,0.1,3.68455171585083,2.3469152450561523,2.3048160076141357,2.1948037147521973,2.231191635131836,2.2831602096557617,2.2992746829986572,0.273404165151241,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,23,20,2.0,2.0,0.1,0.1,3.915177345275879,2.372683525085449,2.345428466796875,2.2182796001434326,2.297018051147461,2.224271059036255,2.257876396179199,0.29893270654633514,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,24,20,2.0,2.0,0.1,0.1,4.147777080535889,2.355257511138916,2.3586325645446777,2.20916485786438,2.3157904148101807,2.2439732551574707,2.3324289321899414,0.31588526150835605,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,25,20,2.0,2.0,0.1,0.1,4.422396659851074,2.4250032901763916,2.3924736976623535,2.287893772125244,2.3432302474975586,2.3151395320892334,2.3952479362487793,0.3532458844887479,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,26,20,2.0,2.0,0.1,0.1,4.7809882164001465,2.5185511112213135,2.464574098587036,2.3453822135925293,2.430185556411743,2.322629928588867,2.586724281311035,0.35085105895996593,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,27,20,2.0,2.0,0.1,0.1,5.106346607208252,2.555245876312256,2.4567713737487793,2.387317180633545,2.434786558151245,2.311587333679199,2.6456189155578613,0.35355621638634677,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,28,20,2.0,2.0,0.1,0.1,5.594252586364746,2.6796536445617676,2.5530545711517334,2.505702495574951,2.522716999053955,2.5517101287841797,2.878591537475586,0.3694611969821261,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
