prompt_idx,layer,alpha,eps,steer_layer,delta_l2,proj_v20,proj_vL,proj_transport,model,vec_path
0,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,20,2.0,0.1,20,1.999647617340088,1.9994665384292603,1.9994665384292603,1.948431134223938,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,21,2.0,0.1,20,2.2487943172454834,2.082174777984619,1.9844555854797363,1.9416515827178955,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,22,2.0,0.1,20,2.445352792739868,2.1347057819366455,2.0465497970581055,1.9831198453903198,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,23,2.0,0.1,20,2.603635787963867,2.151303291320801,2.088995933532715,1.9726098775863647,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,24,2.0,0.1,20,2.736844301223755,2.1423444747924805,2.1017508506774902,1.9944075345993042,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,25,2.0,0.1,20,2.9166831970214844,2.1955511569976807,2.166194438934326,2.040073871612549,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,26,2.0,0.1,20,3.1572251319885254,2.2573962211608887,2.2142364978790283,1.9724153280258179,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,27,2.0,0.1,20,3.4054954051971436,2.2726221084594727,2.2317123413085938,2.1230318546295166,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,28,2.0,0.1,20,3.734952211380005,2.3769216537475586,2.341066360473633,2.2429275512695312,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,29,2.0,0.1,20,4.162257194519043,2.503178596496582,2.5502710342407227,2.4773154258728027,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,30,2.0,0.1,20,4.808340549468994,2.5754027366638184,2.736759662628174,2.617841958999634,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
0,31,2.0,0.1,20,7.063719749450684,1.8322739601135254,2.5755512714385986,3.6880078315734863,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt
