layer,prompt_idx,model,vecA_path,vecB_path,roleA,roleB,proj_A20,proj_B20,proj_A_L,proj_B_L,category
19,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3865191971883178,-0.10568945240229369,-0.34324332028627397,-0.0680130934342742,baseline
20,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.35052547566592696,-0.22092661298811436,-0.35052547566592696,-0.22092661298811436,baseline
21,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3596757145598531,-0.22433631885796784,-0.2945603566244245,-0.165841868519783,baseline
22,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3538265937939286,-0.24370371401309968,-0.22379146553575993,-0.14380574263632298,baseline
23,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3453279370442033,-0.3131617456674576,-0.2671354925259947,-0.1326854415237904,baseline
24,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3712773356586695,-0.3425290796905756,-0.2947118654847145,-0.22893043011426925,baseline
25,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.39492775611579417,-0.35345644094049933,-0.28340309076011183,-0.15305032525211573,baseline
26,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.3354052871465683,-0.4568841218948364,-0.06422879621386528,-0.2295721983537078,baseline
27,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.31024869307875635,-0.46456228084862233,-0.23472407534718515,-0.4580880496650934,baseline
28,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.22991717532277106,-0.41808979772031307,-0.278007198125124,-0.46227864772081373,baseline
29,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.11564053222537041,-0.495156342536211,-0.3688673600554466,-0.6327585227787494,baseline
30,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,-0.09600871168076992,-0.7230787880718708,-0.36910342872142793,-0.9007483221590519,baseline
31,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,1.2199731469154358,-0.4321335516870022,-0.8673075944185257,-3.2994014978408814,baseline
