layer,prompt_idx,model,vecA_path,vecB_path,roleA,roleB,alpha_A,alpha_B,eps_A,eps_B,steer_layer,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,category
19,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vec_cre
20,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,2.0007674396038055,2.0005653500556946,0.20955744013190264,2.0005653500556946,0.20955744013190264,1.9412043690681458,0.21316718533635134,vec_cre
21,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,2.254219818115234,2.0725184798240663,0.22278560921549792,1.9807623505592347,0.21612705141305918,1.9429283261299133,0.27590982988476753,vec_cre
22,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,2.446555030345917,2.0985674440860747,0.22915572524070735,2.026970845460892,0.2428685627877712,1.9371277034282683,0.30622109919786455,vec_cre
23,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,2.636868751049042,2.132681542634964,0.22710586413741107,2.0924665153026583,0.25171945467591283,1.9553144514560699,0.3144568055868149,vec_cre
24,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,2.8051393866539,2.122210884094238,0.23875283822417254,2.092515605688095,0.25045984238386154,1.9487204909324647,0.3545548424124717,vec_cre
25,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,3.011487400531769,2.166657865047455,0.23877059072256085,2.1470720052719114,0.23909838944673534,1.9776585400104523,0.4014915987849236,vec_cre
26,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,3.271120285987854,2.205515241622925,0.2542815677821636,2.1852821588516234,0.2930601447820663,2.023903805017471,0.4813593074679375,vec_cre
27,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,3.5415910363197325,2.232975023984909,0.24125071540474888,2.2386513710021974,0.28094809502363205,2.1081697821617125,0.5382117904722691,vec_cre
28,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,3.861982595920563,2.3007208585739134,0.2426186382770538,2.3020456314086912,0.27632144540548326,2.1951660335063936,0.5585959777235985,vec_cre
29,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,4.315282166004181,2.4050901055336,0.2501134291291237,2.489415228366852,0.2927182644605636,2.398630905151367,0.5884127005934715,vec_cre
30,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,4.955998408794403,2.4372759819030763,0.2824957318603992,2.6388194084167482,0.36830327063798907,2.5779184699058533,0.6672281086444855,vec_cre
31,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,2.0,0.0,0.1,0.1,20.0,7.970303988456726,1.7085860967636108,0.2579819574952125,2.4017064213752746,0.3114900432527065,4.074175262451172,1.5972817212343215,vec_cre
