layer,creative,neutral,combined_avg
19,-0.436811438575387,-0.33622695580124856,-0.3865191971883178
20,-0.45427366681396963,-0.24677728451788425,-0.35052547566592696
21,-0.4875810693949461,-0.23177035972476007,-0.3596757145598531
22,-0.5444603957235813,-0.16319279186427593,-0.3538265937939286
23,-0.5512431185692549,-0.13941275551915164,-0.3453279370442033
24,-0.6176559008657933,-0.12489877045154571,-0.3712773356586695
25,-0.6719502538442612,-0.11790525838732721,-0.3949277561157942
26,-0.6439266473054885,-0.02688392698764801,-0.33540528714656825
27,-0.6617865234613418,0.04128913730382919,-0.3102486930787563
28,-0.5941474556922912,0.13431310504674915,-0.22991717532277103
29,-0.48296459168195727,0.25168352723121645,-0.11564053222537041
30,-0.3387057766318321,0.14668835327029228,-0.09600871168076991
31,0.7734151840209961,1.6665311098098754,1.2199731469154358
