layer,creative,neutral,combined_avg
19,-0.09474091455340386,-0.49338341504335403,-0.29406216479837893
20,-0.22233230918645858,-0.5528950959444046,-0.3876137025654316
21,-0.19301628917455674,-0.6529422014951706,-0.42297924533486364
22,-0.1866736963391304,-0.6455078095197677,-0.4160907529294491
23,-0.11842189505696299,-0.6460585355758667,-0.38224021531641483
24,-0.21584489941596985,-0.767894732952118,-0.4918698161840439
25,-0.21361399292945862,-0.8743471443653107,-0.5439805686473846
26,-0.23511778712272643,-0.8824436008930207,-0.5587806940078736
27,-0.4125014305114746,-1.1057960510253906,-0.7591487407684325
28,-0.30307046622037886,-1.0627302348613739,-0.6829003505408764
29,-0.29258665740489964,-1.0730256527662276,-0.6828061550855636
30,-0.5768092490732669,-1.24743509888649,-0.9121221739798784
31,-2.1785610198974608,-0.8254382312297821,-1.5019996255636214
