layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.2106739044189454,2.210793113708496,2.210733509063721
21,2.2524260520935058,2.299713063240051,2.276069557666778
22,2.26491961479187,2.3528072595596314,2.308863437175751
23,2.2771461725234987,2.415687656402588,2.3464169144630436
24,2.252399230003357,2.39969162940979,2.326045429706573
25,2.3120521306991577,2.4420618057250976,2.377056968212128
26,2.3563323974609376,2.493784189224243,2.42505829334259
27,2.3739427804946898,2.518457460403442,2.446200120449066
28,2.4231516838073732,2.5897281885147097,2.5064399361610414
29,2.5415644884109496,2.6792018175125123,2.610383152961731
30,2.5563205003738405,2.699512243270874,2.6279163718223573
31,1.6308618426322936,1.6994106650352478,1.6651362538337708
