layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.2106739044189454,2.210793113708496,2.210733509063721
21,2.13344202041626,2.172326183319092,2.152884101867676
22,2.1219180822372437,2.227609133720398,2.1747636079788206
23,2.121730887889862,2.323169779777527,2.2224503338336943
24,2.077459979057312,2.306529426574707,2.191994702816009
25,2.1394758105278013,2.357366609573364,2.2484212100505827
26,2.1759029150009157,2.369382071495056,2.272642493247986
27,2.213617408275604,2.408999133110046,2.311308270692825
28,2.23989816904068,2.432831144332886,2.336364656686783
29,2.4607189416885378,2.6418960094451904,2.551307475566864
30,2.5892503023147584,2.802973008155823,2.6961116552352906
31,2.243583309650421,2.654591608047485,2.449087458848953
