layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,2.000920283794403,2.0002104163169863,2.0005653500556946
21,1.9661908388137816,1.9953338623046875,1.9807623505592344
22,1.9867112278938293,2.067230463027954,2.026970845460892
23,2.016124594211578,2.168808436393738,2.0924665153026583
24,1.9921016454696656,2.1929295659065247,2.092515605688095
25,2.045889973640442,2.2482540369033814,2.1470720052719114
26,2.0903455018997192,2.280218815803528,2.1852821588516234
27,2.1307801961898805,2.3465225458145142,2.2386513710021974
28,2.1877375841140747,2.416353678703308,2.3020456314086912
29,2.373457169532776,2.6053732872009276,2.489415228366852
30,2.510790252685547,2.766848564147949,2.6388194084167482
31,2.171252393722534,2.632160449028015,2.4017064213752746
