layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,1.9998596072196961,1.9999011754989624,1.9998803913593293
21,2.056416726112366,2.0546924114227294,2.0555545687675476
22,2.0409138679504393,2.052726078033447,2.046819972991943
23,2.054956817626953,2.057852363586426,2.0564045906066895
24,2.03851922750473,2.0690390944480894,2.0537791609764096
25,2.067409133911133,2.121207594871521,2.0943083643913267
26,2.1035579204559327,2.1666377782821655,2.135097849369049
27,2.1159436464309693,2.210175132751465,2.163059389591217
28,2.1657609939575195,2.2549549102783204,2.2103579521179197
29,2.252941870689392,2.3310285806655884,2.2919852256774904
30,2.330458068847656,2.4229047536849975,2.376681411266327
31,1.8739990234375,1.883437192440033,1.8787181079387665
