layer,creative,neutral,combined_avg
19,0.0,0.0,0.0
20,1.9998596072196961,1.9999011754989624,1.9998803913593293
21,1.9684670329093934,1.9683281421661376,1.9683975875377655
22,1.959010946750641,1.9646138906478883,1.9618124186992647
23,1.973415493965149,1.9848718643188477,1.9791436791419983
24,1.9741607427597045,2.0094342470169066,1.9917974948883055
25,2.0070093631744386,2.0573760867118835,2.032192724943161
26,2.0293498635292053,2.100980830192566,2.0651653468608857
27,2.053098273277283,2.1563459396362306,2.104722106456757
28,2.090556573867798,2.1945852279663085,2.142570900917053
29,2.2058063983917235,2.2628814220428466,2.234343910217285
30,2.355734419822693,2.40272319316864,2.3792288064956666
31,2.006465792655945,1.9580011129379273,1.982233452796936
