prompt_idx,layer,alpha,eps,steer_layer,delta_l2,proj_v20,proj_vL,proj_transport,model,vec_path
0,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,20,2.0,0.1,20,1.9993549585342407,1.99920654296875,1.99920654296875,1.940140962600708,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,21,2.0,0.1,20,2.3147919178009033,2.084909439086914,1.9953309297561646,2.0038301944732666,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,22,2.0,0.1,20,2.4949798583984375,2.0718977451324463,1.9893136024475098,2.035888671875,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,23,2.0,0.1,20,2.648956298828125,2.099771022796631,2.030311107635498,2.005500078201294,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,24,2.0,0.1,20,2.792367458343506,2.0963258743286133,2.0489680767059326,2.0085690021514893,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,25,2.0,0.1,20,2.980774402618408,2.129483699798584,2.084662437438965,2.0538060665130615,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,26,2.0,0.1,20,3.240025758743286,2.192328691482544,2.1271703243255615,2.133302688598633,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,27,2.0,0.1,20,3.418067216873169,2.204929828643799,2.1681342124938965,2.1327133178710938,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,28,2.0,0.1,20,3.745316982269287,2.296067476272583,2.2464370727539062,2.3061633110046387,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,29,2.0,0.1,20,4.107921600341797,2.3745760917663574,2.3374290466308594,2.3937008380889893,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,30,2.0,0.1,20,4.7080206871032715,2.4762022495269775,2.5162391662597656,2.5869483947753906,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,31,2.0,0.1,20,6.917890548706055,1.9802030324935913,2.11966609954834,3.5047049522399902,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,20,2.0,0.1,20,1.998977780342102,1.9988183975219727,1.9988183975219727,1.9407587051391602,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,21,2.0,0.1,20,2.313493251800537,2.0847082138061523,1.9963873624801636,1.9989798069000244,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,22,2.0,0.1,20,2.499156951904297,2.076477527618408,1.9940292835235596,1.9868305921554565,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
