prompt_idx,layer,alpha,eps,steer_layer,delta_l2,proj_v20,proj_vL,proj_transport,model,vec_path
0,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,20,2.0,0.1,20,1.9994667768478394,1.9992656707763672,1.9992656707763672,1.928858995437622,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,21,2.0,0.1,20,2.3277010917663574,2.0569639205932617,1.9718542098999023,1.9597806930541992,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,22,2.0,0.1,20,2.5107948780059814,2.0404419898986816,1.945528268814087,1.9476344585418701,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,23,2.0,0.1,20,2.659158945083618,2.0508570671081543,1.9768511056900024,1.8812572956085205,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,24,2.0,0.1,20,2.956406831741333,2.043635129928589,1.992557406425476,1.912810206413269,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,25,2.0,0.1,20,3.2559566497802734,2.0934507846832275,2.0303051471710205,2.0442392826080322,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,26,2.0,0.1,20,3.6140224933624268,2.1414105892181396,2.0646324157714844,2.1766371726989746,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,27,2.0,0.1,20,3.9785125255584717,2.178752899169922,2.1209778785705566,2.389057159423828,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,28,2.0,0.1,20,4.16563081741333,2.198060989379883,2.128396511077881,2.0611817836761475,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,29,2.0,0.1,20,4.526629447937012,2.268158435821533,2.1830053329467773,2.173820972442627,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,30,2.0,0.1,20,5.044382572174072,2.358170986175537,2.2854199409484863,2.2623138427734375,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
0,31,2.0,0.1,20,7.025571346282959,1.8422284126281738,1.82460355758667,2.195309638977051,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,20,2.0,0.1,20,1.9989362955093384,1.9988141059875488,1.9988141059875488,1.9499651193618774,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,21,2.0,0.1,20,2.2614681720733643,2.006251335144043,1.9191007614135742,2.017033576965332,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,22,2.0,0.1,20,2.45161771774292,1.982886791229248,1.8945286273956299,1.9827818870544434,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,23,2.0,0.1,20,2.5596065521240234,1.9693186283111572,1.8859117031097412,1.9493341445922852,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,24,2.0,0.1,20,2.798238754272461,1.9823323488235474,1.9034173488616943,2.0317463874816895,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,25,2.0,0.1,20,3.0341529846191406,2.0367815494537354,1.9451771974563599,2.178579807281494,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,26,2.0,0.1,20,3.3458564281463623,2.0680127143859863,1.958500862121582,2.2276084423065186,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,27,2.0,0.1,20,3.6568236351013184,2.1195895671844482,2.0101490020751953,2.2142767906188965,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,28,2.0,0.1,20,3.855853319168091,2.1130852699279785,2.019674777984619,2.2155580520629883,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,29,2.0,0.1,20,4.239231109619141,2.183711528778076,2.075404405593872,2.4238533973693848,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,30,2.0,0.1,20,4.793556213378906,2.2953765392303467,2.2045092582702637,2.5661182403564453,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
1,31,2.0,0.1,20,7.183842182159424,1.751392126083374,1.7063640356063843,2.9561872482299805,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,20,2.0,0.1,20,2.0002362728118896,2.000044822692871,2.000044822692871,1.9199669361114502,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,21,2.0,0.1,20,2.324749231338501,2.073537826538086,1.9869904518127441,1.8859164714813232,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,22,2.0,0.1,20,2.5336074829101562,2.089115619659424,1.9996058940887451,1.9437639713287354,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,23,2.0,0.1,20,2.648468017578125,2.0895848274230957,2.0167078971862793,1.9034113883972168,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,24,2.0,0.1,20,2.845391035079956,2.0929460525512695,2.0360093116760254,1.8531733751296997,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,25,2.0,0.1,20,3.050814151763916,2.1387293338775635,2.0875372886657715,1.8452391624450684,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,26,2.0,0.1,20,3.3289694786071777,2.194812059402466,2.1422970294952393,1.4406845569610596,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,27,2.0,0.1,20,3.5944180488586426,2.2434651851654053,2.2007482051849365,1.3439786434173584,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,28,2.0,0.1,20,3.9103353023529053,2.3209898471832275,2.2787985801696777,1.5029000043869019,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,29,2.0,0.1,20,4.280453681945801,2.387267827987671,2.3485093116760254,1.5167152881622314,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,30,2.0,0.1,20,4.867316246032715,2.503352165222168,2.5080008506774902,1.439427375793457,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
2,31,2.0,0.1,20,6.9871907234191895,1.9834908246994019,2.089554786682129,0.9536632895469666,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,20,2.0,0.1,20,2.000596761703491,2.000396728515625,2.000396728515625,1.9249858856201172,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,21,2.0,0.1,20,2.32234525680542,2.0586655139923096,1.9716699123382568,2.000382900238037,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,22,2.0,0.1,20,2.501965045928955,2.044623613357544,1.9446552991867065,1.933720588684082,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,23,2.0,0.1,20,2.6584813594818115,2.0393729209899902,1.9470274448394775,1.8140161037445068,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,24,2.0,0.1,20,2.9663522243499756,2.0512895584106445,1.962808609008789,1.974571943283081,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,25,2.0,0.1,20,3.2566964626312256,2.0986380577087402,1.9860475063323975,2.2285571098327637,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,26,2.0,0.1,20,3.582115888595581,2.151376247406006,2.0453684329986572,2.4557671546936035,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,27,2.0,0.1,20,3.9250688552856445,2.2097530364990234,2.117609739303589,2.6309542655944824,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,28,2.0,0.1,20,4.167294025421143,2.254230499267578,2.147782564163208,2.45491361618042,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,29,2.0,0.1,20,4.525120735168457,2.3325130939483643,2.195268392562866,2.8316071033477783,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,30,2.0,0.1,20,5.075448513031006,2.446890354156494,2.34964656829834,3.040804624557495,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
3,31,2.0,0.1,20,7.6740288734436035,1.889528512954712,1.8980200290679932,5.153870582580566,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,20,2.0,0.1,20,2.0006017684936523,2.000380516052246,2.000380516052246,1.9181320667266846,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,21,2.0,0.1,20,2.2857260704040527,2.0711610317230225,1.98610258102417,1.6271344423294067,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,22,2.0,0.1,20,2.4466805458068848,2.079977035522461,2.0090889930725098,1.7841413021087646,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,23,2.0,0.1,20,2.63972544670105,2.1081557273864746,2.058232307434082,1.884792447090149,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,24,2.0,0.1,20,2.789085626602173,2.11757755279541,2.081904888153076,1.8557130098342896,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,25,2.0,0.1,20,2.9359776973724365,2.1495871543884277,2.1250038146972656,1.8540600538253784,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,26,2.0,0.1,20,3.12290358543396,2.1803979873657227,2.155806541442871,1.5602188110351562,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,27,2.0,0.1,20,3.293138265609741,2.210421562194824,2.1950082778930664,1.5858349800109863,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,28,2.0,0.1,20,3.5944647789001465,2.261749505996704,2.2513928413391113,1.713880181312561,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,29,2.0,0.1,20,3.9408278465270996,2.3417272567749023,2.3398189544677734,1.8376967906951904,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,30,2.0,0.1,20,4.468602657318115,2.404597043991089,2.4617667198181152,2.152364730834961,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
4,31,2.0,0.1,20,6.000767707824707,1.8846864700317383,2.048997640609741,2.523893117904663,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,20,2.0,0.1,20,2.0008208751678467,2.0006344318389893,2.0006344318389893,1.932568907737732,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,21,2.0,0.1,20,2.248068332672119,2.039565086364746,1.9523673057556152,1.9403884410858154,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,22,2.0,0.1,20,2.4117085933685303,2.036670446395874,1.952293872833252,1.9041094779968262,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,23,2.0,0.1,20,2.5299909114837646,2.0352320671081543,1.9758951663970947,1.8581933975219727,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,24,2.0,0.1,20,2.74222731590271,2.0509064197540283,2.0060782432556152,1.5492750406265259,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,25,2.0,0.1,20,2.9936106204986572,2.1120245456695557,2.0565223693847656,1.4875638484954834,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,26,2.0,0.1,20,3.3105053901672363,2.161818027496338,2.0974440574645996,1.7838430404663086,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,27,2.0,0.1,20,3.6004865169525146,2.196889877319336,2.136043071746826,1.853390097618103,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,28,2.0,0.1,20,3.8795623779296875,2.2315492630004883,2.174111843109131,1.9496835470199585,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,29,2.0,0.1,20,4.254304885864258,2.3183507919311523,2.2516932487487793,2.0505781173706055,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,30,2.0,0.1,20,4.771832466125488,2.3958537578582764,2.388758420944214,2.1669535636901855,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
5,31,2.0,0.1,20,7.129130840301514,1.8279049396514893,1.9183870553970337,3.3655943870544434,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
6,19,2.0,0.1,20,0.0,0.0,0.0,0.0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
6,20,2.0,0.1,20,1.9998754262924194,1.9997004270553589,1.9997004270553589,1.9335296154022217,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
6,21,2.0,0.1,20,2.247499465942383,2.047539234161377,1.960352897644043,1.89808988571167,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
6,22,2.0,0.1,20,2.4164116382598877,2.0466506481170654,1.9602330923080444,1.893843650817871,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
6,23,2.0,0.1,20,2.5442488193511963,2.046381950378418,1.969934344291687,1.884228229522705,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt
