prefix,evaluation_model,count,empathetic_avg,analytical_avg,creative_avg,environmental_avg,futurist_avg
ana_fut,gemini,1,11.25,31.25,20.0,12.916666666666666,24.583333333333332
ana_fut,gpt,1,7.916666666666667,35.833333333333336,23.75,14.583333333333334,17.916666666666668
ana_fut,local,1,15.833333333333334,37.083333333333336,10.416666666666666,10.416666666666666,26.25
ana_fut,ALL_AVG,3,11.666666666666666,34.72222222222223,18.055555555555554,12.638888888888888,22.916666666666668
baseline,gemini,1,11.666666666666666,28.333333333333332,22.083333333333332,15.0,22.916666666666668
baseline,gpt,1,8.333333333333334,35.833333333333336,23.333333333333332,16.25,16.25
baseline,local,1,10.416666666666666,42.916666666666664,11.25,13.333333333333334,22.083333333333332
baseline,ALL_AVG,3,10.138888888888888,35.69444444444445,18.88888888888889,14.861111111111112,20.416666666666668
cre,gemini,1,5.833333333333333,12.5,41.25,13.333333333333334,27.083333333333332
cre,gpt,1,7.083333333333333,19.166666666666668,38.333333333333336,17.083333333333332,18.333333333333332
cre,local,1,10.833333333333334,7.916666666666667,50.0,10.0,21.25
cre,ALL_AVG,3,7.916666666666667,13.194444444444445,43.19444444444445,13.472222222222221,22.222222222222218
cre_ana,gemini,1,10.416666666666666,30.833333333333332,20.416666666666668,13.333333333333334,25.0
cre_ana,gpt,1,7.916666666666667,35.833333333333336,24.166666666666668,15.0,17.083333333333332
cre_ana,local,1,17.5,37.083333333333336,10.833333333333334,11.25,23.333333333333332
cre_ana,ALL_AVG,3,11.944444444444443,34.583333333333336,18.472222222222225,13.194444444444445,21.805555555555554
cre_env,gemini,1,6.25,14.166666666666666,42.5,11.666666666666666,25.416666666666668
cre_env,gpt,1,8.333333333333334,19.583333333333332,36.666666666666664,16.25,19.166666666666668
cre_env,local,1,8.75,7.75,52.5,8.916666666666666,22.083333333333332
cre_env,ALL_AVG,3,7.777777777777779,13.833333333333334,43.888888888888886,12.277777777777777,22.222222222222225
cre_env_fut_fut,gemini,1,7.083333333333333,12.5,42.5,12.5,25.416666666666668
cre_env_fut_fut,gpt,1,6.666666666666667,19.583333333333332,37.916666666666664,17.083333333333332,18.75
cre_env_fut_fut,local,1,7.083333333333333,8.75,56.25,8.75,19.166666666666668
cre_env_fut_fut,ALL_AVG,3,6.944444444444444,13.611111111111109,45.55555555555555,12.777777777777777,21.111111111111114
cre_fut,gemini,1,5.416666666666667,12.5,43.333333333333336,12.083333333333334,26.666666666666668
cre_fut,gpt,1,7.083333333333333,18.75,38.75,17.083333333333332,18.333333333333332
cre_fut,local,1,12.5,8.333333333333334,49.583333333333336,9.166666666666666,20.416666666666668
cre_fut,ALL_AVG,3,8.333333333333334,13.194444444444445,43.88888888888889,12.777777777777777,21.805555555555557
env,gemini,1,11.25,20.416666666666668,20.833333333333332,26.666666666666668,20.833333333333332
env,gpt,1,8.333333333333334,27.5,25.0,24.166666666666668,15.0
env,local,1,10.0,21.25,11.666666666666666,41.666666666666664,15.416666666666666
env,ALL_AVG,3,9.861111111111112,23.055555555555557,19.166666666666664,30.833333333333332,17.083333333333332
env_ana,gemini,1,8.75,14.166666666666666,20.0,40.0,17.083333333333332
env_ana,gpt,1,7.916666666666667,22.5,21.666666666666668,33.333333333333336,14.583333333333334
env_ana,local,1,7.916666666666667,9.166666666666666,8.75,66.25,7.916666666666667
env_ana,ALL_AVG,3,8.194444444444445,15.277777777777777,16.805555555555557,46.52777777777778,13.194444444444443
env_fut,gemini,1,10.0,25.416666666666668,22.083333333333332,15.416666666666666,27.083333333333332
env_fut,gpt,1,7.083333333333333,35.0,24.583333333333332,17.5,15.833333333333334
env_fut,local,1,14.583333333333334,32.916666666666664,14.583333333333334,12.916666666666666,25.0
env_fut,ALL_AVG,3,10.555555555555555,31.111111111111114,20.416666666666668,15.277777777777777,22.638888888888886
multi_prompt,gpt,1,8.333333333333334,36.25,23.333333333333332,15.416666666666666,16.666666666666668
multi_prompt,gemini,1,11.666666666666666,28.75,20.833333333333332,14.583333333333334,24.166666666666668
multi_prompt,local,1,9.583333333333334,43.75,12.5,12.5,21.666666666666668
multi_prompt,ALL_AVG,3,9.861111111111112,36.25,18.88888888888889,14.166666666666666,20.833333333333332
