layer,prompt_idx,model,vecA_path,vecB_path,roleA,roleB,proj_A20,proj_B20,proj_A_L,proj_B_L,category
19,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.09076952189207078,-0.3193502493202686,0.07507817931473255,-0.29406216479837893,multi_prompt
20,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.11208476386964321,-0.3876137025654316,0.11208476386964321,-0.3876137025654316,multi_prompt
21,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.1481769723817706,-0.4762220859527588,0.1926200944930315,-0.42297924533486364,multi_prompt
22,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.21894197203218937,-0.49776227176189425,0.3234181072562933,-0.4160907529294491,multi_prompt
23,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.20464221946895117,-0.48174657598137854,0.30320103988051417,-0.38224021531641483,multi_prompt
24,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.23900037296116353,-0.5239663727581501,0.31860086470842364,-0.4918698161840439,multi_prompt
25,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.26064556613564493,-0.6529337801039219,0.5583516716957092,-0.5439805686473846,multi_prompt
26,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.3497849076986313,-0.708447178453207,0.8397408872842789,-0.5587806940078736,multi_prompt
27,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.42586697936058043,-0.7261361546814442,0.8213384985923767,-0.7591487407684326,multi_prompt
28,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.5260955214500427,-0.6524520561099052,0.9000267699360848,-0.6829003505408764,multi_prompt
29,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.6580011680722236,-0.8100959330797195,0.9971426144242287,-0.6828061550855636,multi_prompt
30,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.6946525797247887,-0.9861929565668106,1.0728579446673394,-0.9121221739798784,multi_prompt
31,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,3.0835029780864716,-1.6742474660277367,0.9492081150412559,-1.5019996255636214,multi_prompt
