layer,prompt_idx,model,vecA_path,vecB_path,roleA,roleB,alpha_A,alpha_B,eps_A,eps_B,steer_layer,delta_l2,proj_A20,proj_B20,proj_A_L,proj_B_L,proj_A_transport,proj_B_transport,category
19,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vec_env
20,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,2.0000635743141175,0.20872788652777668,1.9998803913593293,0.20872788652777668,1.9998803913593293,0.21938227713108058,1.9321964085102081,vec_env
21,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,2.2858185291290285,0.2159222729504108,2.0555545687675476,0.18364206254482265,1.9683975875377655,0.28126049563288685,1.9292628407478332,vec_env
22,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,2.4765621423721313,0.2210779413580894,2.046819972991943,0.16260353103280062,1.9618124186992645,0.2923246674239635,1.9035052537918091,vec_env
23,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,2.6346279621124267,0.22451055273413653,2.0564045906066895,0.1495951291173696,1.9791436791419983,0.2968915738165378,1.8938855290412904,vec_env
24,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,2.8030732750892637,0.21065596863627428,2.05377916097641,0.12260839119553564,1.9917974948883057,0.3319186951965093,1.8792239010334015,vec_env
25,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,3.0095849514007567,0.22062649577856058,2.0943083643913267,0.12902057953178878,2.032192724943161,0.3663382112979888,1.9169468820095061,vec_env
26,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,3.260974180698395,0.23807292059063906,2.135097849369049,0.1283822003751993,2.0651653468608857,0.4230973843485117,1.9595746576786042,vec_env
27,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,3.4977328419685363,0.23074615895748135,2.163059389591217,0.11798336077481504,2.1047221064567565,0.4464867636561394,2.0264685094356536,vec_env
28,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,3.7790831923484802,0.22077390849590298,2.2103579521179197,0.08719600364565845,2.142570900917053,0.4480618692934513,2.0929184377193453,vec_env
29,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,4.1551919221878055,0.212043135613203,2.2919852256774904,0.10758896647021172,2.234343910217285,0.48108853548765185,2.234874886274338,vec_env
30,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,4.737316370010376,0.19730274379253382,2.376681411266327,0.10028268424794076,2.3792288064956666,0.5142707481980324,2.4276944041252135,vec_env
31,0,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct/multi_role/creative_professional_response_avg_diff.pt,Llama-3.1-8B-Instruct/multi_role/environmentalist_response_avg_diff.pt,creative professional,environmentalist,0.0,2.0,0.1,0.1,20.0,6.796188735961914,-0.03011374976485967,1.8787181079387665,0.07376137850806115,1.982233452796936,1.388705520518124,3.306185710430145,vec_env
